leave_id,employee_id,leave_type,start_date,end_date,total_leave_days,leave_reason,approval_status,approved_by
2395,205,Casual Leave,2024-07-09,2024-07-11,3,Personal Work,Approved,Lekha Borra
2396,2057,Paternity Leave,2024-01-22,2024-01-30,9,Medical Treatment,Approved,Vasatika Sandhu
2397,2922,Casual Leave,2025-08-17,2025-08-19,3,Marriage,Rejected,
2398,1770,Maternity Leave,2025-10-30,2025-10-31,2,Vacation,Approved,Vedant Kashyap
2399,1939,Casual Leave,2024-05-09,2024-05-12,4,Child Care,Approved,Gaurang Garde
2400,1731,Emergency Leave,2025-11-08,2025-11-09,2,Personal Work,Pending,
2401,2446,Casual Leave,2024-12-05,2024-12-07,3,Religious Festival,Approved,Krisha Taneja
2402,2369,Sick Leave,2024-07-12,2024-07-15,4,Child Care,Approved,Pavani Bhatti
2403,2271,Sick Leave,2024-09-25,2024-09-29,5,Personal Work,Approved,Zilmil Dey
2404,2322,Paternity Leave,2024-10-24,2024-10-31,8,Child Care,Approved,Ranbir Sur
2405,1790,Annual Leave,2025-09-29,2025-10-01,3,Religious Festival,Approved,Shaurya Shanker
2406,2064,Paternity Leave,2024-11-08,2024-11-13,6,Child Care,Approved,Raksha Warrior
2407,1911,Emergency Leave,2025-02-11,2025-02-17,7,Vacation,Approved,Daniel Bajaj
2408,1725,Annual Leave,2025-02-05,2025-02-07,3,Personal Work,Approved,Edhitha Saini
2409,994,Maternity Leave,2024-11-08,2024-11-16,9,Personal Work,Approved,Irya Walia
2410,220,Unpaid Leave,2024-01-28,2024-02-03,7,Vacation,Approved,Nitara Agate
2411,1896,Unpaid Leave,2024-02-08,2024-02-16,9,Vacation,Approved,Rushil Setty
2412,347,Annual Leave,2024-06-03,2024-06-07,5,Medical Treatment,Approved,Jeet Din
2413,1366,Maternity Leave,2024-08-04,2024-08-05,2,Higher Education,Approved,Jagrati More
2414,2829,Casual Leave,2025-05-17,2025-05-17,1,Vacation,Approved,Hamsini Bath
2415,2874,Sick Leave,2025-01-27,2025-02-04,9,Higher Education,Approved,Varenya Hegde
2416,559,Sick Leave,2025-01-13,2025-01-15,3,Personal Work,Approved,Ekavir Tella
2417,2946,Annual Leave,2024-02-01,2024-02-08,8,Marriage,Approved,Ekanta Warrior
2418,470,Annual Leave,2025-02-05,2025-02-05,1,Medical Treatment,Approved,Idika Doshi
2419,2130,Annual Leave,2024-02-21,2024-02-24,4,Higher Education,Approved,Jagvi Sarma
2420,101,Unpaid Leave,2024-09-04,2024-09-12,9,Vacation,Approved,Kavya Bobal
2421,499,Casual Leave,2024-07-28,2024-08-03,7,Family Emergency,Approved,Vanya Kunda
2422,963,Unpaid Leave,2025-02-05,2025-02-13,9,Higher Education,Approved,Zayan Kata
2423,2696,Maternity Leave,2025-12-20,2025-12-21,2,Vacation,Approved,Hiral Krish
2424,757,Sick Leave,2025-09-29,2025-10-02,4,Marriage,Approved,Hamsini Khurana
2425,1951,Emergency Leave,2024-03-16,2024-03-20,5,Medical Treatment,Approved,Anvi Tara
2426,2412,Emergency Leave,2024-07-19,2024-07-24,6,Child Care,Approved,Gaurav Chokshi
2427,1581,Paternity Leave,2024-04-06,2024-04-07,2,Child Care,Approved,Udyati Mand
2428,607,Annual Leave,2024-07-09,2024-07-13,5,Child Care,Approved,Dayamai Bhat
2429,46,Maternity Leave,2025-09-25,2025-09-29,5,Higher Education,Approved,Meera Shah
2430,175,Casual Leave,2025-01-17,2025-01-19,3,Higher Education,Approved,Chakrika Badal
2431,1135,Annual Leave,2024-07-14,2024-07-16,3,Marriage,Approved,Ronith Madan
2432,1429,Paternity Leave,2025-04-20,2025-04-28,9,Medical Treatment,Approved,Samaksh Nazareth
2433,715,Paternity Leave,2025-07-29,2025-07-31,3,Religious Festival,Approved,Aarush Hora
2434,1883,Paternity Leave,2025-07-26,2025-07-28,3,Personal Work,Approved,Wriddhish Bobal
2435,1614,Annual Leave,2025-02-17,2025-02-24,8,Higher Education,Approved,Hemang Barad
2436,2482,Paternity Leave,2025-09-02,2025-09-04,3,Personal Work,Approved,Ridhi Natarajan
2437,531,Paternity Leave,2024-01-26,2024-01-31,6,Religious Festival,Approved,Kalpit Sastry
2438,2395,Maternity Leave,2024-08-04,2024-08-10,7,Vacation,Approved,Pallavi Dara
2439,652,Sick Leave,2025-10-21,2025-10-22,2,Higher Education,Approved,Janaki Sachdeva
2440,2783,Emergency Leave,2024-05-30,2024-06-04,6,Marriage,Approved,Gopal Grewal
2441,432,Sick Leave,2025-06-02,2025-06-08,7,Child Care,Approved,Ucchal Shroff
2442,264,Annual Leave,2025-09-26,2025-10-05,10,Vacation,Approved,Edhitha Dhar
2443,299,Emergency Leave,2024-03-23,2024-03-28,6,Vacation,Approved,Warinder Chada
2444,713,Casual Leave,2025-07-04,2025-07-05,2,Child Care,Approved,Xavier Venkataraman
2445,546,Paternity Leave,2025-12-12,2025-12-21,10,Marriage,Approved,Anya Sampath
2446,1035,Emergency Leave,2025-01-01,2025-01-08,8,Marriage,Approved,Mitali Barad
2447,825,Paternity Leave,2025-08-26,2025-08-28,3,Marriage,Approved,Ronith Bawa
2448,353,Maternity Leave,2025-12-30,2025-12-30,1,Medical Treatment,Approved,Dayita Bahl
2449,834,Annual Leave,2025-05-07,2025-05-09,3,Religious Festival,Pending,
2450,1672,Maternity Leave,2025-03-07,2025-03-15,9,Religious Festival,Approved,Charita Biswas
2451,760,Paternity Leave,2024-06-12,2024-06-20,9,Marriage,Approved,Lakshit Majumdar
2452,2337,Unpaid Leave,2025-11-19,2025-11-26,8,Religious Festival,Approved,Ishwar Guha
2453,2534,Maternity Leave,2024-11-24,2024-11-26,3,Higher Education,Approved,Anika Jhaveri
2454,1752,Paternity Leave,2024-09-02,2024-09-08,7,Medical Treatment,Approved,Champak Pillay
2455,521,Unpaid Leave,2024-10-29,2024-11-06,9,Medical Treatment,Approved,Oeshi Ravi
2456,2043,Sick Leave,2025-04-27,2025-04-27,1,Religious Festival,Approved,Tripti Agarwal
2457,93,Sick Leave,2024-02-29,2024-03-04,5,Personal Work,Pending,
2458,1600,Paternity Leave,2025-02-17,2025-02-22,6,Family Emergency,Approved,Arjun Ramanathan
2459,1180,Annual Leave,2025-11-27,2025-12-05,9,Personal Work,Approved,Daksha Sami
2460,1636,Maternity Leave,2024-01-27,2024-01-27,1,Medical Treatment,Approved,Oeshi Patil
2461,2388,Emergency Leave,2024-11-24,2024-11-28,5,Vacation,Approved,Zehaan Kashyap
2462,1385,Emergency Leave,2025-05-19,2025-05-23,5,Vacation,Approved,Zaitra Vig
2463,571,Sick Leave,2024-03-27,2024-04-04,9,Religious Festival,Approved,Naksh Chopra
2464,2718,Annual Leave,2025-11-20,2025-11-23,4,Vacation,Approved,Vanya Zachariah
2465,1417,Annual Leave,2024-05-17,2024-05-23,7,Medical Treatment,Approved,Yahvi Butala
2466,2259,Emergency Leave,2025-02-16,2025-02-18,3,Vacation,Approved,Rayaan Nagy
2467,427,Annual Leave,2025-01-03,2025-01-10,8,Religious Festival,Approved,Janya Dhingra
2468,1768,Emergency Leave,2025-03-30,2025-04-03,5,Marriage,Approved,Elijah Solanki
2469,88,Annual Leave,2025-08-02,2025-08-02,1,Marriage,Approved,Jagdish Randhawa
2470,2189,Maternity Leave,2025-03-01,2025-03-07,7,Vacation,Approved,Ethan Comar
2471,2264,Emergency Leave,2025-07-05,2025-07-05,1,Child Care,Approved,Benjamin Radhakrishnan
2472,2849,Sick Leave,2024-11-18,2024-11-24,7,Family Emergency,Approved,Sarthak Amble
2473,474,Emergency Leave,2024-03-17,2024-03-18,2,Religious Festival,Pending,
2474,1441,Sick Leave,2025-07-09,2025-07-14,6,Vacation,Approved,Girik Sridhar
2475,976,Sick Leave,2025-01-21,2025-01-22,2,Marriage,Approved,Ansh Brahmbhatt
2476,1692,Paternity Leave,2024-12-18,2024-12-26,9,Vacation,Approved,Advik Mane
2477,2949,Sick Leave,2024-08-31,2024-08-31,1,Family Emergency,Approved,Sanya Patil
2478,1797,Sick Leave,2025-03-05,2025-03-09,5,Religious Festival,Approved,Ubika Shukla
2479,2468,Paternity Leave,2025-07-29,2025-08-01,4,Family Emergency,Rejected,
2480,2483,Emergency Leave,2025-03-05,2025-03-12,8,Medical Treatment,Approved,Jagvi Das
2481,313,Casual Leave,2025-11-10,2025-11-18,9,Religious Festival,Approved,Gautami Sharaf
2482,903,Emergency Leave,2024-05-07,2024-05-11,5,Personal Work,Pending,
2483,2678,Sick Leave,2025-10-02,2025-10-10,9,Religious Festival,Pending,
2484,2859,Maternity Leave,2025-11-02,2025-11-10,9,Religious Festival,Approved,Meghana Batta
2485,1683,Paternity Leave,2025-06-21,2025-06-30,10,Medical Treatment,Approved,Jack Chahal
2486,834,Sick Leave,2025-08-24,2025-09-01,9,Marriage,Approved,Gunbir Sachdev
2487,503,Casual Leave,2024-11-14,2024-11-16,3,Marriage,Approved,Jagvi Yadav
2488,2861,Emergency Leave,2025-04-04,2025-04-11,8,Vacation,Pending,
2489,2044,Unpaid Leave,2024-07-03,2024-07-03,1,Child Care,Approved,Sneha Subramanian
2490,1231,Unpaid Leave,2025-09-14,2025-09-15,2,Child Care,Approved,Vanya Sharaf
2491,2029,Annual Leave,2024-03-28,2024-04-03,7,Vacation,Approved,Victor Sankar
2492,920,Sick Leave,2025-03-13,2025-03-19,7,Child Care,Approved,Keya Om
2493,2182,Annual Leave,2025-01-21,2025-01-25,5,Religious Festival,Approved,Avi Iyer
2494,107,Maternity Leave,2024-04-12,2024-04-17,6,Personal Work,Pending,
2495,2421,Sick Leave,2025-09-03,2025-09-03,1,Child Care,Approved,Divya Mane
2496,1752,Unpaid Leave,2025-08-19,2025-08-19,1,Child Care,Approved,Victor Sarraf
2497,2955,Paternity Leave,2025-12-14,2025-12-18,5,Higher Education,Approved,Yatan Chandran
2498,1737,Maternity Leave,2025-06-16,2025-06-25,10,Personal Work,Approved,Vedika Solanki
2499,666,Emergency Leave,2025-10-15,2025-10-22,8,Marriage,Approved,Urvashi Soman
2500,541,Annual Leave,2024-05-09,2024-05-13,5,Personal Work,Approved,Jatin Vaidya
2501,351,Sick Leave,2024-04-24,2024-05-02,9,Child Care,Approved,Aarini Raj
2502,159,Maternity Leave,2024-06-15,2024-06-19,5,Personal Work,Approved,Vedhika Nagy
2503,2675,Unpaid Leave,2024-12-24,2025-01-02,10,Personal Work,Approved,Chavvi Kashyap
2504,2329,Paternity Leave,2025-01-22,2025-01-27,6,Family Emergency,Approved,Tanmayi Oza
2505,1818,Emergency Leave,2024-06-23,2024-06-23,1,Higher Education,Approved,Samesh Dixit
2506,152,Casual Leave,2025-10-29,2025-11-05,8,Marriage,Approved,Elijah Lala
2507,1674,Annual Leave,2025-05-08,2025-05-17,10,Personal Work,Pending,
2508,2500,Maternity Leave,2024-04-16,2024-04-21,6,Higher Education,Pending,
2509,737,Casual Leave,2024-05-19,2024-05-23,5,Higher Education,Approved,Mitali Basak
2510,522,Sick Leave,2024-09-25,2024-09-27,3,Vacation,Approved,Gavin Pal
2511,954,Annual Leave,2024-05-04,2024-05-04,1,Higher Education,Approved,Sanaya Malhotra
2512,2376,Casual Leave,2025-02-27,2025-02-27,1,Marriage,Approved,Mahika Menon
2513,250,Paternity Leave,2025-01-10,2025-01-14,5,Vacation,Rejected,
2514,2779,Unpaid Leave,2025-06-10,2025-06-15,6,Vacation,Approved,Forum Butala
2515,2460,Sick Leave,2025-09-28,2025-10-03,6,Higher Education,Approved,Garima Wali
2516,464,Maternity Leave,2025-08-07,2025-08-08,2,Religious Festival,Approved,Abeer Sant
2517,2337,Casual Leave,2025-06-21,2025-06-27,7,Child Care,Approved,Saanvi Nath
2518,1160,Sick Leave,2024-02-12,2024-02-12,1,Religious Festival,Approved,Zinal Pillay
2519,1373,Emergency Leave,2025-01-30,2025-02-04,6,Personal Work,Approved,Lopa Kapadia
2520,2548,Annual Leave,2025-07-23,2025-07-25,3,Personal Work,Approved,Aarini Kapur
2521,615,Maternity Leave,2024-01-28,2024-01-28,1,Marriage,Approved,Baljiwan Buch
2522,1283,Maternity Leave,2024-09-19,2024-09-27,9,Religious Festival,Approved,Harinakshi Madan
2523,881,Emergency Leave,2024-07-30,2024-08-08,10,Family Emergency,Approved,Gayathri Bera
2524,1561,Unpaid Leave,2025-11-04,2025-11-05,2,Marriage,Pending,
2525,2316,Maternity Leave,2024-07-18,2024-07-27,10,Child Care,Approved,Harrison Narula
2526,2208,Paternity Leave,2025-05-13,2025-05-14,2,Vacation,Approved,Saanvi Rajan
2527,2487,Emergency Leave,2025-05-18,2025-05-26,9,Religious Festival,Approved,Nihal Dhar
2528,1103,Sick Leave,2024-02-28,2024-03-08,10,Marriage,Approved,Zaid Bhatia
2529,1347,Sick Leave,2025-02-02,2025-02-07,6,Religious Festival,Approved,Zaid Sem
2530,473,Paternity Leave,2025-04-21,2025-04-24,4,Child Care,Approved,Oliver Kunda
2531,1483,Annual Leave,2025-01-02,2025-01-07,6,Medical Treatment,Approved,Adya Kala
2532,1484,Paternity Leave,2025-03-15,2025-03-22,8,Higher Education,Approved,Logan Karpe
2533,1716,Sick Leave,2025-02-01,2025-02-10,10,Family Emergency,Approved,Logan Tiwari
2534,2203,Sick Leave,2025-12-11,2025-12-17,7,Family Emergency,Approved,Harita Palla
2535,2481,Casual Leave,2024-06-02,2024-06-06,5,Medical Treatment,Approved,Wyatt Buch
2536,334,Emergency Leave,2025-12-25,2025-12-31,7,Family Emergency,Approved,Yochana Parikh
2537,2360,Emergency Leave,2025-03-11,2025-03-14,4,Higher Education,Pending,
2538,64,Sick Leave,2024-05-05,2024-05-06,2,Higher Education,Approved,Adweta Ganguly
2539,414,Sick Leave,2024-02-14,2024-02-14,1,Vacation,Approved,Amara Ratti
2540,2827,Sick Leave,2025-06-07,2025-06-08,2,Child Care,Approved,Harini Golla
2541,1730,Casual Leave,2025-02-06,2025-02-08,3,Marriage,Approved,Ekapad Narasimhan
2542,2917,Casual Leave,2024-01-11,2024-01-12,2,Religious Festival,Approved,Samar Palan
2543,2423,Maternity Leave,2024-08-01,2024-08-10,10,Vacation,Approved,Peter Bhandari
2544,303,Paternity Leave,2025-04-23,2025-04-28,6,Child Care,Pending,
2545,2584,Emergency Leave,2024-04-02,2024-04-08,7,Higher Education,Approved,Chaitaly Sankar
2546,2868,Sick Leave,2025-01-06,2025-01-08,3,Medical Treatment,Approved,Amara Deo
2547,624,Annual Leave,2024-09-24,2024-10-03,10,Higher Education,Approved,Akshay Dixit
2548,1554,Casual Leave,2025-12-19,2025-12-26,8,Personal Work,Approved,Teerth Rastogi
2549,397,Sick Leave,2024-02-02,2024-02-06,5,Vacation,Approved,Harita Oommen
2550,2311,Maternity Leave,2024-10-13,2024-10-21,9,Child Care,Approved,Warhi Goda
2551,1169,Casual Leave,2024-03-20,2024-03-26,7,Family Emergency,Approved,Aashi Samra
2552,587,Annual Leave,2025-01-19,2025-01-22,4,Personal Work,Approved,Abeer Mishra
2553,2356,Maternity Leave,2024-02-01,2024-02-06,6,Personal Work,Approved,Gavin Wason
2554,679,Annual Leave,2025-01-19,2025-01-23,5,Higher Education,Approved,Priya Chakrabarti
2555,917,Sick Leave,2025-06-22,2025-06-26,5,Personal Work,Pending,
2556,2483,Unpaid Leave,2024-12-23,2024-12-24,2,Personal Work,Pending,
2557,578,Annual Leave,2025-12-15,2025-12-18,4,Family Emergency,Approved,Amrita Raghavan
2558,113,Maternity Leave,2025-11-07,2025-11-07,1,Marriage,Pending,
2559,28,Emergency Leave,2024-04-29,2024-04-29,1,Personal Work,Approved,Gunbir Anne
2560,2340,Emergency Leave,2024-11-27,2024-12-04,8,Higher Education,Approved,Owen Magar
2561,1209,Annual Leave,2025-03-30,2025-03-31,2,Child Care,Approved,Imaran Dey
2562,2021,Casual Leave,2024-03-03,2024-03-04,2,Personal Work,Approved,Inaya Agrawal
2563,2997,Paternity Leave,2024-05-21,2024-05-22,2,Medical Treatment,Rejected,
2564,912,Paternity Leave,2025-07-20,2025-07-21,2,Religious Festival,Approved,Daksh Pandey
2565,1131,Emergency Leave,2024-10-09,2024-10-17,9,Medical Treatment,Approved,Anay Nagy
2566,2896,Paternity Leave,2024-12-25,2024-12-30,6,Vacation,Pending,
2567,1776,Annual Leave,2024-03-28,2024-04-05,9,Vacation,Approved,Nidhi Morar
2568,2599,Paternity Leave,2025-05-18,2025-05-18,1,Child Care,Approved,Ansh Nayak
2569,902,Paternity Leave,2025-02-12,2025-02-15,4,Family Emergency,Approved,Shravya Khurana
2570,1985,Unpaid Leave,2024-10-19,2024-10-21,3,Personal Work,Approved,Quincy Chadha
2571,540,Sick Leave,2025-05-01,2025-05-02,2,Marriage,Pending,
2572,14,Emergency Leave,2024-01-31,2024-02-01,2,Marriage,Approved,Brijesh Shukla
2573,2909,Sick Leave,2024-02-03,2024-02-03,1,Personal Work,Approved,Henry Tak
2574,2513,Emergency Leave,2025-07-16,2025-07-25,10,Religious Festival,Approved,Tamanna Padmanabhan
2575,1984,Maternity Leave,2024-12-21,2024-12-23,3,Marriage,Approved,Jyoti Mand
2576,1197,Paternity Leave,2025-07-16,2025-07-23,8,Child Care,Approved,Chanchal Shere
2577,2449,Casual Leave,2024-12-25,2025-01-02,9,Medical Treatment,Approved,Aahana Sekhon
2578,897,Annual Leave,2024-06-15,2024-06-19,5,Higher Education,Approved,Naveen Gopal
2579,1333,Sick Leave,2024-04-01,2024-04-07,7,Higher Education,Approved,Nathaniel Dugar
2580,1307,Paternity Leave,2025-10-10,2025-10-11,2,Child Care,Approved,David Mitter
2581,2887,Sick Leave,2024-03-27,2024-04-03,8,Higher Education,Approved,Chaitaly Butala
2582,2462,Emergency Leave,2024-06-04,2024-06-07,4,Personal Work,Approved,Leela Kothari
2583,2079,Sick Leave,2024-07-18,2024-07-24,7,Religious Festival,Approved,Krisha Batta
2584,1072,Paternity Leave,2025-03-20,2025-03-25,6,Higher Education,Approved,Maanas Peri
2585,1742,Emergency Leave,2024-05-19,2024-05-23,5,Personal Work,Pending,
2586,1989,Paternity Leave,2025-10-01,2025-10-04,4,Vacation,Approved,Jacob Ramesh
2587,1264,Emergency Leave,2024-09-15,2024-09-21,7,Family Emergency,Approved,Samar Kala
2588,2196,Sick Leave,2024-06-01,2024-06-02,2,Religious Festival,Pending,
2589,530,Maternity Leave,2025-06-12,2025-06-20,9,Vacation,Approved,Pahal Sinha
2590,1554,Annual Leave,2025-05-05,2025-05-10,6,Medical Treatment,Pending,
2591,2683,Annual Leave,2025-10-02,2025-10-10,9,Marriage,Approved,Nisha Pandya
2592,644,Unpaid Leave,2025-08-04,2025-08-12,9,Marriage,Approved,Aarnav Rout
2593,1189,Unpaid Leave,2025-10-02,2025-10-04,3,Religious Festival,Pending,
2594,1694,Sick Leave,2025-02-11,2025-02-19,9,Vacation,Approved,Nidra Pal
2595,148,Unpaid Leave,2024-08-15,2024-08-15,1,Medical Treatment,Approved,Liam Sule
2596,2055,Emergency Leave,2025-03-27,2025-04-03,8,Personal Work,Approved,Qushi Nagi
2597,1235,Annual Leave,2025-12-14,2025-12-17,4,Marriage,Approved,Bhavna Ravi
2598,139,Casual Leave,2024-01-13,2024-01-14,2,Child Care,Approved,Oliver Nair
2599,2685,Emergency Leave,2025-05-14,2025-05-16,3,Personal Work,Approved,Watika Naik
2600,348,Annual Leave,2024-12-04,2024-12-05,2,Child Care,Approved,Dalbir Bath
2601,83,Annual Leave,2025-09-20,2025-09-28,9,Family Emergency,Approved,Anvi Brar
2602,392,Paternity Leave,2024-05-31,2024-06-09,10,Marriage,Approved,Eiravati Devan
2603,2481,Unpaid Leave,2025-10-14,2025-10-18,5,Child Care,Approved,Zaid Varghese
2604,2099,Paternity Leave,2025-12-25,2025-12-25,1,Higher Education,Approved,Nidhi Mannan
2605,831,Annual Leave,2025-01-31,2025-02-04,5,Higher Education,Rejected,
2606,1543,Casual Leave,2024-10-12,2024-10-18,7,Child Care,Approved,Isaac Parsa
2607,2298,Casual Leave,2024-02-04,2024-02-11,8,Marriage,Approved,Faras Das
2608,1567,Annual Leave,2025-05-20,2025-05-27,8,Religious Festival,Approved,Om Kurian
2609,2239,Paternity Leave,2024-03-29,2024-03-30,2,Vacation,Approved,Wishi Narula
2610,1628,Unpaid Leave,2024-11-30,2024-12-03,4,Higher Education,Approved,Darpan Borra
2611,2307,Annual Leave,2025-10-21,2025-10-25,5,Medical Treatment,Approved,Adya Padmanabhan
2612,391,Maternity Leave,2025-08-14,2025-08-16,3,Higher Education,Approved,Atharv Tak
2613,2431,Sick Leave,2024-05-05,2024-05-06,2,Higher Education,Approved,Chakradhar Oza
2614,2144,Paternity Leave,2024-09-21,2024-09-30,10,Vacation,Approved,Jagrati Roy
2615,2022,Casual Leave,2025-03-29,2025-04-04,7,Religious Festival,Approved,Darsh Dass
2616,617,Annual Leave,2024-10-02,2024-10-07,6,Child Care,Approved,Aradhana Wason
2617,23,Casual Leave,2024-11-06,2024-11-09,4,Higher Education,Approved,Saumya Singhal
2618,2235,Emergency Leave,2025-03-14,2025-03-19,6,Marriage,Pending,
2619,1319,Emergency Leave,2025-09-12,2025-09-19,8,Medical Treatment,Approved,Ayush Dyal
2620,431,Emergency Leave,2025-01-25,2025-01-26,2,Vacation,Approved,Karan Tank
2621,664,Maternity Leave,2024-05-04,2024-05-05,2,Higher Education,Approved,Ishwar Bhatt
2622,466,Annual Leave,2025-02-15,2025-02-21,7,Higher Education,Approved,Aryan Handa
2623,573,Paternity Leave,2024-01-14,2024-01-22,9,Vacation,Approved,Jairaj Choudhry
2624,1216,Annual Leave,2025-02-19,2025-02-25,7,Personal Work,Rejected,
2625,2141,Casual Leave,2025-06-05,2025-06-14,10,Family Emergency,Pending,
2626,580,Casual Leave,2024-12-01,2024-12-09,9,Religious Festival,Approved,Ira Srinivasan
2627,2128,Maternity Leave,2025-05-12,2025-05-16,5,Marriage,Approved,Wahab Pradhan
2628,1353,Paternity Leave,2025-02-10,2025-02-12,3,Higher Education,Approved,Bimala Khosla
2629,41,Casual Leave,2025-04-01,2025-04-07,7,Higher Education,Approved,Manthan Lala
2630,275,Annual Leave,2024-08-14,2024-08-18,5,Marriage,Approved,Mahika Singh
2631,2843,Annual Leave,2025-10-03,2025-10-11,9,Medical Treatment,Approved,Jai Bir
2632,251,Maternity Leave,2024-09-30,2024-10-07,8,Medical Treatment,Approved,Dalbir Banik
2633,1436,Paternity Leave,2025-07-30,2025-08-07,9,Religious Festival,Pending,
2634,2576,Annual Leave,2024-10-31,2024-11-03,4,Child Care,Approved,Isaiah Karan
2635,2394,Paternity Leave,2025-07-27,2025-07-31,5,Child Care,Approved,Vaishnavi Gala
2636,1044,Maternity Leave,2024-06-22,2024-06-30,9,Marriage,Approved,Oliver Krishnamurthy
2637,318,Maternity Leave,2024-12-20,2024-12-22,3,Marriage,Approved,Warjas Roy
2638,1147,Sick Leave,2025-07-28,2025-08-01,5,Family Emergency,Approved,Bhavani Srinivas
2639,2140,Maternity Leave,2024-09-11,2024-09-17,7,Personal Work,Approved,Gopal Saxena
2640,2523,Paternity Leave,2024-09-04,2024-09-11,8,Vacation,Approved,Alexander Mannan
2641,950,Sick Leave,2024-10-19,2024-10-20,2,Family Emergency,Pending,
2642,588,Sick Leave,2024-01-04,2024-01-11,8,Religious Festival,Approved,Simon Sundaram
2643,319,Annual Leave,2025-05-25,2025-05-27,3,Higher Education,Approved,Urvashi Shere
2644,1743,Paternity Leave,2025-07-30,2025-08-06,8,Medical Treatment,Approved,Naksh Kala
2645,987,Maternity Leave,2024-11-30,2024-12-06,7,Child Care,Approved,Karan Som
2646,2893,Emergency Leave,2025-07-11,2025-07-16,6,Religious Festival,Approved,Gaurika Gole
2647,2174,Annual Leave,2024-04-04,2024-04-13,10,Family Emergency,Approved,Bimala Buch
2648,2596,Unpaid Leave,2025-10-06,2025-10-10,5,Child Care,Approved,Yatan Kalita
2649,2296,Emergency Leave,2025-06-18,2025-06-25,8,Personal Work,Approved,Balveer Babu
2650,2808,Annual Leave,2024-06-14,2024-06-22,9,Religious Festival,Pending,
2651,730,Annual Leave,2025-08-14,2025-08-19,6,Religious Festival,Approved,Kamala Pradhan
2652,2984,Emergency Leave,2025-09-18,2025-09-21,4,Marriage,Approved,Tanvi Mitter
2653,1567,Casual Leave,2024-06-20,2024-06-22,3,Vacation,Pending,
2654,803,Emergency Leave,2024-06-23,2024-06-28,6,Vacation,Approved,Ekavir Panchal
2655,2402,Casual Leave,2025-12-29,2026-01-03,6,Religious Festival,Approved,Hiral Baral
2656,1040,Maternity Leave,2024-05-15,2024-05-15,1,Vacation,Approved,Qasim Deo
2657,2652,Casual Leave,2025-11-30,2025-12-07,8,Personal Work,Approved,Ishani Borde
2658,1124,Paternity Leave,2024-11-12,2024-11-12,1,Vacation,Rejected,
2659,2942,Emergency Leave,2024-10-08,2024-10-17,10,Higher Education,Approved,Raksha Gole
2660,712,Emergency Leave,2024-03-28,2024-04-05,9,Vacation,Approved,Osha Behl
2661,1514,Annual Leave,2025-06-14,2025-06-23,10,Family Emergency,Pending,
2662,2891,Paternity Leave,2025-06-13,2025-06-15,3,Family Emergency,Approved,Avi Wadhwa
2663,340,Emergency Leave,2025-10-10,2025-10-11,2,Vacation,Approved,Ishwar Ramakrishnan
2664,1288,Annual Leave,2025-01-22,2025-01-30,9,Marriage,Approved,Zarna Comar
2665,2684,Maternity Leave,2025-01-24,2025-01-24,1,Religious Festival,Approved,Chakradev Patla
2666,2906,Sick Leave,2025-12-29,2026-01-07,10,Religious Festival,Approved,Dhriti Bal
2667,2115,Annual Leave,2024-10-14,2024-10-20,7,Vacation,Approved,Kavya Keer
2668,267,Sick Leave,2025-02-24,2025-03-04,9,Personal Work,Approved,Pahal Jhaveri
2669,344,Sick Leave,2025-07-02,2025-07-09,8,Marriage,Approved,Sudiksha Garde
2670,2821,Maternity Leave,2025-10-20,2025-10-26,7,Vacation,Approved,Nachiket Choudhary
2671,1275,Casual Leave,2025-03-31,2025-04-08,9,Religious Festival,Approved,Vedant Zachariah
2672,1910,Maternity Leave,2025-12-17,2025-12-18,2,Higher Education,Approved,Anjali Sampath
2673,362,Annual Leave,2024-11-03,2024-11-04,2,Medical Treatment,Approved,Guneet Guha
2674,761,Casual Leave,2024-07-22,2024-07-31,10,Vacation,Approved,Elijah Sarma
2675,694,Unpaid Leave,2024-06-13,2024-06-13,1,Religious Festival,Approved,Mitesh Venkataraman
2676,1886,Annual Leave,2024-04-20,2024-04-23,4,Marriage,Approved,Pahal Natarajan
2677,544,Casual Leave,2024-09-17,2024-09-17,1,Personal Work,Approved,Harish Muni
2678,730,Casual Leave,2025-07-23,2025-07-25,3,Child Care,Approved,Laksh Nadkarni
2679,926,Unpaid Leave,2024-10-14,2024-10-17,4,Marriage,Approved,Advik Dash
2680,726,Casual Leave,2024-10-08,2024-10-12,5,Personal Work,Approved,Sanaya Dhar
2681,379,Emergency Leave,2025-11-07,2025-11-12,6,Religious Festival,Approved,Samesh Chandra
2682,2629,Maternity Leave,2025-03-25,2025-04-01,8,Family Emergency,Approved,Neelima Gopal
2683,151,Unpaid Leave,2025-12-04,2025-12-13,10,Marriage,Approved,Anita Sood
2684,2877,Emergency Leave,2024-08-28,2024-09-02,6,Personal Work,Approved,Ria Chandran
2685,850,Casual Leave,2025-04-14,2025-04-22,9,Personal Work,Approved,Oviya Dora
2686,372,Maternity Leave,2024-02-07,2024-02-10,4,Higher Education,Approved,Bahadurjit Murthy
2687,1069,Annual Leave,2024-02-24,2024-02-25,2,Family Emergency,Approved,Edhitha Dhar
2688,1947,Sick Leave,2024-12-19,2024-12-26,8,Religious Festival,Approved,Devansh Som
2689,2310,Emergency Leave,2024-01-16,2024-01-25,10,Religious Festival,Pending,
