promotion_id,employee_id,promotion_date,old_designation,new_designation,salary_increment_percent,promotion_reason
633,1545,2025-06-21,Associate,Assistant Manager,9.26,Business Requirement
634,1642,2025-06-21,Analyst,Manager,17.08,Role Expansion
635,1473,2024-03-11,Senior Analyst,Executive,19.93,Business Requirement
636,349,2025-03-17,Senior Analyst,Senior Manager,9.86,Annual Promotion
637,1455,2025-01-05,Associate,Senior Manager,10.83,Business Requirement
638,2643,2024-08-11,Junior Executive,Manager,19.52,Role Expansion
639,1764,2024-07-08,Assistant Manager,Lead Analyst,9.8,Outstanding Performance
640,2125,2025-03-05,Senior Executive,Manager,17.49,Business Requirement
641,1533,2025-05-13,Executive,Assistant Manager,14.65,Business Requirement
642,618,2024-04-26,Associate,Manager,13.86,Outstanding Performance
643,1211,2025-06-07,Analyst,Executive,15.07,Outstanding Performance
644,2991,2025-03-17,Junior Executive,Team Lead,10.41,Leadership Development
645,848,2025-09-12,Senior Executive,Assistant Manager,16.86,Leadership Development
646,1795,2024-07-31,Analyst,Executive,20.27,Role Expansion
647,1230,2024-01-09,Senior Executive,Executive,8.76,Outstanding Performance
648,1406,2025-05-10,Junior Executive,Team Lead,19.02,Annual Promotion
649,2114,2025-09-19,Associate,Senior Executive,10.97,Annual Promotion
650,1747,2025-10-14,Senior Executive,Manager,24.29,Annual Promotion
651,756,2024-12-04,Assistant Manager,Senior Manager,11.17,Role Expansion
652,2516,2025-01-28,Analyst,Executive,23.01,Role Expansion
653,1593,2024-09-25,Senior Analyst,Assistant Manager,8.08,Annual Promotion
654,2883,2025-05-08,Executive,Lead Analyst,21.75,Outstanding Performance
655,2200,2024-11-26,Senior Analyst,Executive,11.18,Leadership Development
656,467,2024-12-31,Executive,Assistant Manager,12.46,Role Expansion
657,1284,2024-08-05,Senior Analyst,Senior Manager,18.15,Business Requirement
658,468,2024-01-30,Analyst,Manager,13.91,Role Expansion
659,2760,2024-05-27,Senior Analyst,Senior Executive,20.0,Leadership Development
660,348,2025-06-07,Senior Analyst,Manager,19.43,Leadership Development
661,1251,2025-09-15,Junior Executive,Senior Executive,9.99,Leadership Development
662,2093,2024-06-15,Associate,Senior Executive,14.6,Business Requirement
663,1572,2024-02-22,Executive,Manager,15.19,Role Expansion
664,2841,2024-10-05,Associate,Manager,23.63,Annual Promotion
665,2006,2024-09-27,Senior Analyst,Senior Executive,12.91,Annual Promotion
666,1848,2024-07-09,Senior Executive,Team Lead,18.53,Leadership Development
667,560,2025-08-08,Junior Executive,Assistant Manager,11.32,Role Expansion
668,2675,2025-01-05,Senior Analyst,Manager,16.41,Role Expansion
669,1819,2025-10-30,Analyst,Senior Manager,16.31,Outstanding Performance
670,904,2024-06-21,Senior Analyst,Executive,12.97,Leadership Development
671,1183,2025-05-30,Executive,Manager,10.86,Role Expansion
672,2029,2024-12-22,Senior Analyst,Senior Manager,17.35,Outstanding Performance
673,1098,2024-04-02,Senior Analyst,Executive,21.18,Leadership Development
674,171,2025-06-19,Senior Analyst,Team Lead,20.92,Role Expansion
675,1742,2025-02-07,Senior Analyst,Senior Executive,9.74,Annual Promotion
676,133,2025-10-20,Senior Executive,Team Lead,15.65,Leadership Development
677,357,2025-08-04,Assistant Manager,Team Lead,15.46,Outstanding Performance
678,971,2024-10-28,Assistant Manager,Team Lead,11.57,Business Requirement
679,2912,2024-10-20,Associate,Lead Analyst,18.37,Role Expansion
680,571,2024-12-23,Executive,Manager,21.34,Annual Promotion
681,2336,2024-04-26,Assistant Manager,Executive,13.96,Leadership Development
682,690,2024-03-21,Senior Analyst,Manager,13.5,Leadership Development
683,1096,2024-02-01,Senior Executive,Manager,24.19,Business Requirement
684,391,2025-01-24,Associate,Team Lead,10.31,Role Expansion
685,2687,2024-03-18,Junior Executive,Lead Analyst,10.16,Annual Promotion
686,2914,2024-01-27,Executive,Senior Executive,13.48,Annual Promotion
687,2770,2025-07-03,Assistant Manager,Team Lead,14.68,Annual Promotion
688,1101,2024-01-16,Senior Analyst,Senior Manager,18.67,Role Expansion
689,2596,2024-03-26,Analyst,Executive,21.51,Outstanding Performance
690,1140,2024-05-27,Analyst,Manager,19.81,Leadership Development
691,1341,2025-11-21,Analyst,Assistant Manager,17.89,Outstanding Performance
692,2601,2024-01-28,Associate,Assistant Manager,19.29,Leadership Development
693,2190,2025-08-05,Assistant Manager,Executive,14.76,Role Expansion
694,2027,2025-07-25,Assistant Manager,Senior Executive,12.57,Leadership Development
695,2368,2025-08-10,Senior Executive,Manager,10.22,Role Expansion
696,2796,2025-04-22,Assistant Manager,Lead Analyst,20.96,Outstanding Performance
697,1883,2025-02-19,Junior Executive,Senior Manager,8.28,Annual Promotion
698,3,2025-03-31,Analyst,Assistant Manager,24.86,Role Expansion
699,541,2024-09-12,Executive,Senior Manager,23.0,Leadership Development
700,1123,2025-10-03,Executive,Team Lead,9.59,Leadership Development
701,1524,2025-05-25,Senior Executive,Executive,19.3,Annual Promotion
702,2563,2025-03-17,Junior Executive,Assistant Manager,13.19,Annual Promotion
703,374,2025-07-25,Analyst,Senior Manager,19.96,Outstanding Performance
704,320,2024-07-04,Executive,Assistant Manager,10.26,Annual Promotion
705,1823,2025-08-18,Senior Analyst,Senior Manager,8.16,Leadership Development
706,1730,2025-03-04,Assistant Manager,Executive,19.8,Role Expansion
707,1570,2024-12-07,Junior Executive,Senior Executive,9.52,Outstanding Performance
708,1506,2024-07-30,Junior Executive,Lead Analyst,22.98,Annual Promotion
709,546,2025-09-04,Analyst,Team Lead,18.91,Annual Promotion
710,2308,2025-11-12,Junior Executive,Manager,8.14,Annual Promotion
711,2960,2025-03-17,Analyst,Lead Analyst,11.62,Annual Promotion
712,2813,2025-08-16,Analyst,Manager,15.52,Annual Promotion
713,574,2025-09-18,Junior Executive,Executive,20.79,Business Requirement
714,1440,2024-02-09,Associate,Assistant Manager,24.38,Leadership Development
715,1015,2024-05-18,Assistant Manager,Senior Executive,12.71,Outstanding Performance
716,2462,2024-01-01,Executive,Manager,18.2,Business Requirement
717,2829,2024-10-31,Senior Executive,Team Lead,8.46,Leadership Development
718,2486,2024-01-08,Executive,Manager,16.66,Role Expansion
719,224,2024-04-16,Senior Executive,Senior Manager,21.32,Annual Promotion
720,462,2025-06-30,Analyst,Assistant Manager,12.1,Business Requirement
721,50,2025-12-23,Junior Executive,Manager,24.78,Leadership Development
722,2329,2024-02-06,Executive,Assistant Manager,15.15,Business Requirement
723,1930,2024-07-11,Associate,Senior Executive,24.23,Outstanding Performance
724,277,2024-07-01,Junior Executive,Manager,8.23,Annual Promotion
725,1631,2025-06-22,Junior Executive,Executive,16.61,Business Requirement
726,1648,2025-10-10,Assistant Manager,Senior Manager,9.4,Business Requirement
727,626,2025-12-26,Senior Analyst,Manager,12.72,Leadership Development
728,833,2024-01-06,Junior Executive,Manager,24.56,Annual Promotion
729,1601,2024-06-13,Senior Analyst,Lead Analyst,17.97,Outstanding Performance
730,1792,2024-08-07,Senior Executive,Senior Manager,20.41,Annual Promotion
731,354,2025-02-06,Junior Executive,Senior Executive,23.72,Outstanding Performance
732,2494,2024-03-27,Analyst,Manager,8.94,Annual Promotion
733,2900,2025-02-17,Junior Executive,Executive,10.33,Outstanding Performance
734,1421,2025-07-24,Executive,Assistant Manager,16.89,Leadership Development
735,520,2025-11-22,Executive,Lead Analyst,20.75,Leadership Development
736,121,2024-12-13,Associate,Executive,13.7,Role Expansion
737,262,2024-02-02,Senior Executive,Manager,12.47,Business Requirement
738,2033,2024-12-18,Associate,Executive,15.74,Leadership Development
739,2322,2024-09-14,Junior Executive,Assistant Manager,10.84,Annual Promotion
740,422,2025-03-04,Senior Executive,Team Lead,23.2,Outstanding Performance
741,2085,2024-02-27,Executive,Senior Manager,8.04,Outstanding Performance
742,1491,2025-02-20,Executive,Assistant Manager,14.51,Annual Promotion
743,145,2025-11-12,Executive,Team Lead,17.4,Role Expansion
744,1017,2025-07-12,Executive,Lead Analyst,15.08,Leadership Development
745,320,2025-08-17,Senior Executive,Team Lead,17.72,Outstanding Performance
746,216,2024-12-21,Senior Analyst,Senior Manager,11.05,Business Requirement
747,283,2024-12-14,Junior Executive,Assistant Manager,22.91,Leadership Development
748,1273,2025-12-29,Assistant Manager,Team Lead,13.56,Business Requirement
749,1512,2025-02-21,Analyst,Executive,11.41,Business Requirement
750,2551,2025-08-28,Assistant Manager,Lead Analyst,12.12,Leadership Development
751,801,2024-08-05,Senior Analyst,Assistant Manager,20.45,Business Requirement
752,1005,2024-06-28,Assistant Manager,Team Lead,10.56,Role Expansion
753,2219,2024-08-26,Junior Executive,Senior Executive,13.89,Outstanding Performance
754,2693,2024-01-05,Senior Executive,Executive,14.4,Leadership Development
755,2171,2025-08-12,Junior Executive,Senior Executive,24.71,Role Expansion
756,584,2024-07-01,Analyst,Executive,20.1,Outstanding Performance
757,2129,2024-09-20,Junior Executive,Senior Executive,15.02,Leadership Development
758,348,2024-09-30,Analyst,Senior Manager,17.87,Business Requirement
759,1616,2024-11-04,Executive,Senior Manager,9.27,Business Requirement
760,2714,2024-06-16,Junior Executive,Assistant Manager,24.39,Annual Promotion
761,1291,2025-07-21,Senior Executive,Lead Analyst,23.74,Role Expansion
762,1337,2024-08-27,Associate,Team Lead,13.41,Leadership Development
763,558,2025-09-05,Executive,Senior Executive,21.26,Business Requirement
764,433,2025-09-29,Junior Executive,Senior Executive,10.79,Role Expansion
765,495,2025-10-17,Senior Executive,Assistant Manager,17.11,Annual Promotion
766,1898,2024-03-07,Analyst,Lead Analyst,12.51,Outstanding Performance
767,2811,2025-11-08,Junior Executive,Senior Executive,13.17,Business Requirement
768,1343,2025-01-14,Junior Executive,Senior Executive,10.52,Annual Promotion
769,2104,2025-01-22,Senior Executive,Assistant Manager,8.83,Leadership Development
770,713,2025-02-28,Senior Executive,Team Lead,8.53,Role Expansion
771,2254,2024-07-30,Assistant Manager,Manager,12.25,Role Expansion
772,573,2025-10-23,Junior Executive,Team Lead,10.06,Outstanding Performance
773,911,2025-09-25,Assistant Manager,Team Lead,10.22,Role Expansion
774,2582,2024-05-30,Senior Executive,Senior Manager,23.94,Outstanding Performance
775,1061,2025-08-02,Senior Analyst,Manager,23.6,Outstanding Performance
776,810,2024-11-19,Junior Executive,Executive,23.34,Role Expansion
777,377,2024-11-08,Assistant Manager,Senior Executive,23.39,Leadership Development
778,1889,2024-12-06,Junior Executive,Executive,8.86,Business Requirement
779,2968,2025-04-06,Analyst,Team Lead,14.71,Outstanding Performance
780,1748,2025-04-16,Analyst,Senior Manager,10.94,Annual Promotion
781,1147,2025-02-10,Executive,Lead Analyst,15.58,Annual Promotion
782,2537,2024-12-01,Junior Executive,Manager,18.49,Leadership Development
783,2256,2025-06-07,Analyst,Assistant Manager,16.14,Outstanding Performance
784,563,2025-09-18,Senior Executive,Assistant Manager,15.13,Business Requirement
785,2227,2025-12-23,Executive,Senior Manager,21.51,Role Expansion
786,1471,2024-01-15,Assistant Manager,Senior Manager,16.15,Role Expansion
787,2058,2025-03-04,Senior Executive,Manager,13.47,Leadership Development
788,2446,2024-11-22,Executive,Lead Analyst,11.72,Leadership Development
789,1933,2024-11-02,Junior Executive,Team Lead,17.0,Business Requirement
790,411,2024-07-17,Executive,Senior Executive,12.21,Annual Promotion
791,230,2025-07-30,Senior Executive,Manager,20.99,Annual Promotion
792,1591,2024-02-28,Senior Analyst,Team Lead,14.03,Annual Promotion
793,2427,2024-03-06,Executive,Senior Executive,13.41,Leadership Development
794,2882,2025-03-27,Senior Analyst,Executive,19.91,Business Requirement
795,2307,2024-02-14,Senior Analyst,Senior Executive,24.12,Role Expansion
796,720,2024-03-03,Senior Analyst,Lead Analyst,16.34,Outstanding Performance
797,2465,2025-04-10,Junior Executive,Senior Executive,11.72,Business Requirement
798,1359,2024-07-19,Analyst,Executive,23.6,Annual Promotion
799,1396,2024-12-29,Assistant Manager,Senior Executive,20.19,Leadership Development
800,606,2025-09-01,Junior Executive,Executive,17.97,Annual Promotion
801,2156,2025-08-29,Assistant Manager,Executive,22.63,Outstanding Performance
802,2713,2024-01-22,Senior Executive,Senior Manager,14.73,Outstanding Performance
803,1322,2024-03-21,Senior Executive,Lead Analyst,10.32,Annual Promotion
804,2619,2025-06-20,Associate,Assistant Manager,24.33,Leadership Development
805,2302,2024-12-22,Executive,Senior Manager,19.79,Business Requirement
806,915,2025-06-06,Assistant Manager,Lead Analyst,19.31,Annual Promotion
807,2821,2024-09-22,Analyst,Lead Analyst,13.01,Annual Promotion
808,2876,2024-07-24,Associate,Executive,24.13,Role Expansion
809,2325,2024-09-14,Assistant Manager,Team Lead,8.55,Business Requirement
810,2505,2024-08-29,Senior Executive,Team Lead,11.76,Business Requirement
811,577,2024-09-02,Junior Executive,Assistant Manager,13.63,Outstanding Performance
812,1309,2024-03-27,Executive,Lead Analyst,10.85,Outstanding Performance
813,2745,2025-07-20,Assistant Manager,Senior Manager,18.86,Leadership Development
814,1087,2025-10-28,Analyst,Executive,11.56,Outstanding Performance
815,443,2024-06-20,Senior Executive,Lead Analyst,20.25,Outstanding Performance
816,1719,2024-10-03,Analyst,Assistant Manager,24.47,Role Expansion
817,1439,2024-02-02,Analyst,Assistant Manager,17.28,Outstanding Performance
818,2368,2024-04-08,Assistant Manager,Team Lead,19.07,Annual Promotion
819,302,2024-02-03,Executive,Assistant Manager,21.59,Outstanding Performance
820,1306,2025-05-10,Senior Executive,Executive,12.44,Outstanding Performance
821,697,2024-06-06,Junior Executive,Lead Analyst,23.09,Annual Promotion
822,2241,2024-04-08,Associate,Executive,24.01,Outstanding Performance
823,2514,2024-06-04,Senior Executive,Manager,23.18,Outstanding Performance
824,676,2024-02-14,Analyst,Senior Manager,18.32,Role Expansion
825,842,2025-01-22,Executive,Lead Analyst,24.56,Role Expansion
826,2958,2025-12-13,Associate,Manager,23.73,Business Requirement
827,1154,2024-04-24,Senior Executive,Senior Manager,13.06,Outstanding Performance
828,2342,2024-08-07,Junior Executive,Assistant Manager,17.34,Role Expansion
829,16,2025-10-29,Executive,Lead Analyst,15.27,Leadership Development
830,2561,2024-11-27,Assistant Manager,Senior Manager,18.2,Annual Promotion
831,848,2025-03-11,Junior Executive,Executive,10.9,Leadership Development
832,474,2024-03-28,Junior Executive,Assistant Manager,13.24,Role Expansion
833,2708,2025-09-10,Analyst,Assistant Manager,12.51,Business Requirement
834,1520,2024-11-29,Analyst,Senior Executive,23.05,Leadership Development
835,183,2025-10-31,Executive,Assistant Manager,12.48,Role Expansion
836,1101,2024-06-04,Senior Executive,Team Lead,17.59,Annual Promotion
837,2734,2024-10-23,Assistant Manager,Senior Manager,9.64,Leadership Development
838,1696,2024-04-26,Assistant Manager,Manager,24.5,Business Requirement
839,250,2025-10-24,Executive,Manager,22.29,Business Requirement
840,2815,2024-02-08,Analyst,Manager,22.74,Role Expansion
841,1951,2024-08-16,Senior Analyst,Senior Executive,13.08,Role Expansion
842,143,2025-05-25,Assistant Manager,Senior Manager,16.54,Business Requirement
843,2776,2025-04-02,Assistant Manager,Manager,24.71,Annual Promotion
844,1840,2024-07-19,Junior Executive,Team Lead,10.94,Annual Promotion
845,790,2025-08-08,Executive,Team Lead,10.15,Role Expansion
846,1784,2024-11-15,Junior Executive,Senior Manager,11.43,Annual Promotion
847,1057,2024-10-31,Assistant Manager,Manager,13.44,Outstanding Performance
848,2279,2024-10-29,Junior Executive,Assistant Manager,14.76,Leadership Development
849,2129,2024-06-09,Assistant Manager,Lead Analyst,15.79,Outstanding Performance
850,2553,2024-10-21,Assistant Manager,Senior Manager,17.99,Role Expansion
851,613,2024-04-19,Junior Executive,Assistant Manager,10.52,Business Requirement
852,411,2025-02-11,Senior Analyst,Team Lead,23.72,Business Requirement
853,1172,2025-11-17,Assistant Manager,Executive,22.75,Leadership Development
854,1569,2025-06-13,Analyst,Lead Analyst,19.13,Business Requirement
855,154,2024-09-09,Senior Analyst,Assistant Manager,10.93,Role Expansion
856,2494,2024-08-06,Executive,Manager,19.57,Role Expansion
857,1358,2024-01-13,Junior Executive,Assistant Manager,19.74,Outstanding Performance
858,1101,2024-06-10,Associate,Assistant Manager,23.25,Outstanding Performance
859,1242,2025-03-21,Senior Executive,Team Lead,13.29,Role Expansion
860,2806,2025-05-28,Assistant Manager,Senior Manager,9.67,Annual Promotion
861,1815,2025-03-09,Executive,Lead Analyst,21.16,Leadership Development
862,1708,2025-12-15,Senior Executive,Senior Manager,18.28,Outstanding Performance
863,866,2025-02-17,Executive,Assistant Manager,23.53,Role Expansion
864,2116,2024-06-26,Associate,Assistant Manager,22.74,Outstanding Performance
865,652,2025-02-26,Senior Analyst,Team Lead,9.12,Business Requirement
866,2148,2025-10-06,Analyst,Senior Executive,22.95,Outstanding Performance
867,823,2024-04-11,Executive,Senior Executive,22.23,Annual Promotion
868,208,2025-11-12,Junior Executive,Assistant Manager,23.61,Annual Promotion
869,1902,2025-02-08,Senior Executive,Lead Analyst,16.59,Outstanding Performance
870,991,2025-01-15,Associate,Executive,14.33,Business Requirement
871,1944,2025-11-22,Analyst,Senior Executive,17.98,Leadership Development
872,1060,2025-03-06,Senior Executive,Team Lead,20.73,Outstanding Performance
873,1584,2025-10-14,Senior Executive,Executive,8.84,Business Requirement
874,907,2025-06-09,Assistant Manager,Senior Executive,19.01,Annual Promotion
875,1678,2025-10-20,Senior Executive,Senior Manager,16.73,Outstanding Performance
876,2652,2024-08-03,Analyst,Senior Executive,10.94,Outstanding Performance
877,2492,2024-11-16,Executive,Lead Analyst,21.69,Leadership Development
878,2633,2025-01-12,Associate,Senior Manager,12.68,Role Expansion
879,1881,2024-05-24,Assistant Manager,Lead Analyst,12.28,Role Expansion
880,2133,2025-08-17,Senior Executive,Senior Manager,22.01,Role Expansion
881,31,2025-12-15,Senior Analyst,Executive,16.7,Leadership Development
882,2433,2025-08-03,Senior Analyst,Senior Manager,18.35,Leadership Development
883,1974,2025-02-26,Associate,Executive,9.09,Leadership Development
884,1135,2024-02-09,Associate,Lead Analyst,12.44,Leadership Development
885,2119,2025-01-25,Executive,Senior Executive,21.01,Outstanding Performance
886,2458,2024-01-09,Assistant Manager,Team Lead,14.87,Leadership Development
887,2955,2025-07-17,Associate,Senior Executive,8.43,Role Expansion
888,1715,2025-11-26,Senior Executive,Lead Analyst,14.88,Outstanding Performance
889,2344,2025-09-01,Senior Analyst,Senior Manager,21.87,Leadership Development
890,911,2025-04-22,Associate,Senior Manager,19.67,Role Expansion
891,2078,2025-11-18,Associate,Lead Analyst,13.1,Annual Promotion
892,2287,2025-06-01,Assistant Manager,Senior Manager,11.08,Outstanding Performance
893,1060,2024-09-19,Analyst,Senior Executive,20.33,Business Requirement
894,2785,2024-07-20,Assistant Manager,Senior Executive,23.29,Outstanding Performance
895,915,2024-10-29,Executive,Lead Analyst,20.65,Leadership Development
896,1358,2024-03-18,Analyst,Team Lead,14.32,Business Requirement
897,483,2025-08-24,Senior Executive,Assistant Manager,16.0,Business Requirement
898,292,2025-10-06,Senior Analyst,Manager,16.03,Annual Promotion
899,2789,2024-08-26,Senior Analyst,Executive,14.49,Leadership Development
900,618,2025-04-02,Analyst,Executive,10.34,Annual Promotion
901,2333,2025-01-10,Senior Executive,Assistant Manager,23.18,Role Expansion
902,2932,2024-03-16,Executive,Lead Analyst,11.07,Outstanding Performance
903,2585,2025-10-24,Analyst,Lead Analyst,24.77,Leadership Development
904,20,2024-09-27,Associate,Executive,15.68,Annual Promotion
905,691,2024-12-27,Assistant Manager,Team Lead,17.8,Annual Promotion
906,361,2025-12-03,Analyst,Team Lead,10.2,Role Expansion
907,1653,2025-11-14,Associate,Assistant Manager,15.29,Role Expansion
908,155,2025-07-28,Analyst,Executive,17.07,Leadership Development
909,2176,2024-05-10,Junior Executive,Lead Analyst,11.24,Outstanding Performance
910,1020,2025-03-18,Associate,Senior Manager,11.85,Leadership Development
911,1572,2025-12-15,Senior Executive,Executive,16.56,Leadership Development
912,188,2025-04-14,Executive,Team Lead,13.07,Leadership Development
913,2132,2025-10-07,Analyst,Senior Manager,18.14,Leadership Development
914,549,2025-12-09,Analyst,Senior Manager,13.83,Role Expansion
915,772,2024-02-29,Senior Executive,Team Lead,10.8,Role Expansion
916,919,2024-03-28,Junior Executive,Senior Executive,20.36,Annual Promotion
917,90,2024-05-01,Executive,Senior Manager,18.02,Annual Promotion
918,2913,2024-11-16,Junior Executive,Lead Analyst,19.06,Outstanding Performance
919,1048,2024-04-29,Analyst,Senior Manager,21.11,Business Requirement
920,197,2025-12-24,Junior Executive,Manager,19.25,Outstanding Performance
921,475,2025-02-14,Junior Executive,Senior Manager,15.09,Role Expansion
922,1036,2025-05-22,Junior Executive,Manager,16.06,Annual Promotion
923,2809,2024-07-19,Executive,Senior Manager,18.72,Leadership Development
924,414,2025-08-07,Analyst,Senior Manager,19.26,Leadership Development
925,2871,2025-11-29,Senior Analyst,Manager,10.33,Outstanding Performance
926,2531,2025-11-11,Senior Analyst,Senior Manager,10.0,Outstanding Performance
927,2039,2024-08-10,Assistant Manager,Executive,11.38,Annual Promotion
928,2143,2024-07-28,Assistant Manager,Lead Analyst,24.54,Leadership Development
929,1210,2024-01-07,Associate,Assistant Manager,10.73,Business Requirement
930,2819,2024-04-12,Analyst,Senior Executive,23.86,Leadership Development
931,365,2024-08-01,Executive,Senior Manager,23.42,Business Requirement
932,611,2025-02-09,Associate,Assistant Manager,24.14,Business Requirement
933,2964,2024-12-07,Junior Executive,Senior Manager,9.72,Leadership Development
934,1871,2025-11-24,Associate,Senior Executive,24.81,Leadership Development
935,206,2024-06-30,Senior Executive,Assistant Manager,9.7,Annual Promotion
936,1191,2024-06-08,Assistant Manager,Executive,14.12,Leadership Development
937,475,2024-11-10,Analyst,Senior Manager,9.61,Outstanding Performance
938,567,2024-08-14,Junior Executive,Team Lead,19.28,Annual Promotion
939,1793,2024-09-26,Senior Executive,Lead Analyst,24.24,Leadership Development
940,1527,2024-10-05,Associate,Executive,21.85,Annual Promotion
941,1640,2025-03-04,Junior Executive,Assistant Manager,24.36,Leadership Development
942,1959,2024-01-28,Assistant Manager,Senior Manager,21.6,Annual Promotion
943,2852,2025-05-02,Junior Executive,Senior Executive,20.35,Annual Promotion
944,2420,2025-03-02,Junior Executive,Assistant Manager,16.21,Business Requirement
945,743,2024-08-03,Associate,Assistant Manager,18.39,Leadership Development
946,2804,2024-07-13,Senior Analyst,Executive,22.96,Annual Promotion
947,463,2025-01-18,Analyst,Assistant Manager,23.09,Role Expansion
948,1072,2024-09-28,Junior Executive,Executive,19.13,Outstanding Performance
949,2777,2025-09-20,Associate,Team Lead,16.92,Business Requirement
950,918,2024-11-17,Associate,Manager,24.62,Leadership Development
951,2820,2025-10-18,Senior Analyst,Manager,19.91,Outstanding Performance
952,2977,2024-02-01,Analyst,Senior Manager,12.23,Leadership Development
953,2628,2025-09-18,Associate,Senior Manager,14.54,Business Requirement
954,48,2024-03-01,Senior Analyst,Executive,18.94,Annual Promotion
955,1923,2024-09-03,Senior Analyst,Team Lead,22.48,Annual Promotion
956,2014,2025-09-25,Junior Executive,Team Lead,13.45,Leadership Development
957,2077,2024-01-28,Senior Executive,Executive,11.79,Role Expansion
958,963,2024-10-25,Analyst,Team Lead,9.34,Role Expansion
959,1836,2025-01-27,Assistant Manager,Manager,9.5,Role Expansion
960,487,2025-05-05,Analyst,Lead Analyst,24.67,Outstanding Performance
961,1689,2025-07-19,Junior Executive,Assistant Manager,8.61,Business Requirement
962,373,2025-12-25,Junior Executive,Team Lead,21.46,Business Requirement
963,2083,2024-11-04,Associate,Lead Analyst,17.56,Role Expansion
964,223,2025-08-26,Senior Executive,Lead Analyst,21.88,Role Expansion
965,2539,2025-10-15,Senior Executive,Manager,18.2,Leadership Development
966,468,2025-04-09,Associate,Assistant Manager,9.66,Annual Promotion
967,1455,2025-01-22,Junior Executive,Lead Analyst,22.11,Leadership Development
968,1532,2024-05-14,Senior Analyst,Manager,19.94,Outstanding Performance
969,576,2025-09-17,Executive,Assistant Manager,21.97,Role Expansion
970,2503,2024-09-01,Junior Executive,Lead Analyst,11.33,Outstanding Performance
971,1873,2025-04-19,Assistant Manager,Senior Executive,22.02,Annual Promotion
972,442,2024-05-03,Associate,Lead Analyst,20.87,Outstanding Performance
973,2754,2025-08-22,Associate,Team Lead,18.01,Role Expansion
974,2414,2025-07-13,Analyst,Senior Manager,24.26,Annual Promotion
975,2173,2025-11-27,Analyst,Executive,20.52,Business Requirement
976,2397,2024-07-03,Analyst,Team Lead,16.21,Business Requirement
977,2834,2024-04-09,Assistant Manager,Senior Executive,17.84,Annual Promotion
978,2694,2025-03-16,Junior Executive,Assistant Manager,18.21,Leadership Development
979,1715,2024-09-24,Senior Analyst,Assistant Manager,24.65,Annual Promotion
980,1405,2024-05-18,Senior Executive,Assistant Manager,24.5,Role Expansion
981,566,2025-04-22,Assistant Manager,Senior Executive,15.02,Business Requirement
982,2874,2025-01-04,Senior Executive,Team Lead,17.31,Leadership Development
983,2268,2025-08-01,Associate,Senior Manager,18.75,Annual Promotion
984,2927,2025-04-29,Executive,Manager,12.94,Leadership Development
985,2910,2024-07-16,Associate,Senior Executive,19.05,Annual Promotion
986,2844,2024-01-02,Senior Analyst,Manager,18.83,Outstanding Performance
987,2304,2025-08-05,Assistant Manager,Lead Analyst,16.17,Business Requirement
988,1710,2024-04-19,Associate,Senior Manager,19.46,Business Requirement
989,1731,2024-06-03,Senior Executive,Team Lead,21.74,Business Requirement
990,1561,2024-11-14,Junior Executive,Executive,10.47,Outstanding Performance
991,660,2024-01-12,Executive,Lead Analyst,24.72,Leadership Development
992,255,2025-01-09,Executive,Team Lead,19.74,Leadership Development
993,2217,2024-10-30,Executive,Team Lead,8.55,Role Expansion
994,2767,2025-11-26,Junior Executive,Manager,20.57,Annual Promotion
995,2299,2025-12-05,Associate,Senior Manager,14.61,Business Requirement
996,2852,2024-05-24,Assistant Manager,Team Lead,12.89,Outstanding Performance
997,1707,2025-05-31,Analyst,Assistant Manager,24.26,Leadership Development
998,54,2025-02-20,Senior Analyst,Executive,20.64,Annual Promotion
999,1815,2024-03-27,Senior Analyst,Team Lead,22.11,Leadership Development
1000,2239,2024-03-14,Assistant Manager,Manager,20.55,Annual Promotion
1001,793,2024-07-19,Assistant Manager,Senior Manager,13.0,Annual Promotion
1002,766,2024-10-05,Associate,Executive,24.36,Business Requirement
1003,167,2025-06-20,Junior Executive,Assistant Manager,15.28,Business Requirement
1004,1045,2024-06-15,Senior Executive,Manager,8.1,Role Expansion
1005,164,2025-07-01,Associate,Senior Executive,10.61,Leadership Development
1006,2562,2024-12-14,Senior Analyst,Executive,18.47,Leadership Development
1007,2346,2024-12-23,Analyst,Team Lead,17.35,Outstanding Performance
1008,1302,2024-06-23,Assistant Manager,Senior Manager,16.93,Annual Promotion
1009,2070,2025-05-21,Senior Analyst,Executive,10.71,Business Requirement
1010,377,2024-11-10,Senior Analyst,Assistant Manager,13.94,Annual Promotion
1011,1357,2025-07-16,Associate,Lead Analyst,14.13,Annual Promotion
1012,2173,2025-10-28,Assistant Manager,Manager,16.07,Business Requirement
1013,2660,2024-04-30,Assistant Manager,Team Lead,8.15,Leadership Development
1014,2631,2024-01-08,Analyst,Senior Executive,18.43,Business Requirement
1015,1315,2025-11-14,Executive,Senior Manager,14.48,Outstanding Performance
1016,2213,2025-03-31,Analyst,Lead Analyst,20.31,Outstanding Performance
1017,1536,2025-09-12,Senior Analyst,Team Lead,16.74,Business Requirement
1018,180,2025-04-18,Analyst,Assistant Manager,13.04,Annual Promotion
1019,338,2024-12-06,Senior Executive,Manager,24.12,Annual Promotion
1020,2185,2025-08-24,Assistant Manager,Manager,8.12,Outstanding Performance
1021,2579,2025-09-16,Executive,Senior Manager,21.15,Role Expansion
